name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Barnard's Star,4.936,3.001,1.388
Gliese (Gl) 16.1,-5.27,26.4,-71.5
<B>Source for orbit data:</B> Mayor,-55.0,-17.0,-42.0
Rob 270,-30.0,-2.4,-16.0
Gliese (Gl) 167,-4.202,-30.28,-29.76
Gamma Doradus,-8.51,-46.4,-46.5
Epsilon Reticuli,-0.00427,-43.85,-40.18
Henry Draper (HD) 27456,-177.0,91.3,7.18
Luyten Palomar (LP) 415-636,-29.0,1.8,-11.0
Gliese & Jahreiss (GJ) 2034,-4.7,-18.0,-19.0
Henry Draper (HD) 27733,-274.0,-26.0,-137.0
Eggen/Greenstein white dwarf (EG) 169,-36.0,-1.9,-17.0
Zeta Tucanae,10.56,-13.52,-22.16
Luyten Half-Second (LHS) 1670,-65.2,-11.5,-37.1
Woolley (Wo) 9156,10.4,-108.0,-90.5
Gliese (Gl) 169,-35.6,2.6,-11.2
Gliese (Gl) 170,-32.2,10.5,-3.48
Gliese (Gl) 170.1,-135.0,-1.79,-51.5
Henry Draper (HD) 28495,-71.4,51.2,18.4
Woolley (Wo) 9158,-76.7,-14.6,-39.2
Henry Draper (HD) 29086,-30.8,-52.0,-55.0
Gliese (Gl) 171,-83.3,45.2,9.79
Gliese & Jahreiss (GJ) 1071,-20.0,-50.2,-49.4
Luyten Half-Second (LHS) 112,-15.3,32.1,-20.0
Henry Draper (HD) 29231,-36.2,-57.2,-60.7
Gliese (Gl) 172,-29.7,14.8,2.55
Gliese (Gl) 173,-25.4,-13.4,-19.4
Luyten Half-Second (LHS) 194,-23.4,-11.0,-17.2
Gliese (Gl) 174,-42.3,1.07,-12.1
Gliese (Gl) 176,-29.1,-0.2,-8.79
Beta Caeli,-34.4,-59.3,-58.6
Gliese (Gl) 176.2,-71.0,8.15,-14.2
Henry Draper (HD) 30090,-221.0,69.7,-5.65
Gliese (Gl) 176.3,-11.6,-49.6,-43.0
Gliese & Jahreiss (GJ) 1009,6.3,-0.3,-47.0
58 Eridani,-29.2,-20.8,-24.5
Henry Draper (HD) 30523,-63.3,-35.1,-44.8
Pi(3) Orionis,-23.68,-4.939,-10.0
B. Edvardsson et al. calculated a highly questionable age of over 15 thousand-million years for this star.&nbsp; Barry's figure is more likely to be accurate.,-91.9,32.7,2.65
Henry Draper (HD) 30876,-24.6,-38.6,-36.7
Gliese (Gl) 179,-38.0,-8.3,-17.0
Gliese & Jahreiss (GJ) 2035,-85.7,1.21,-19.7
Bonner Durchmusterung (BD) -20°958,-52.0,-44.0,-46.0
Henry Draper (HD) 31392,-35.4,-56.7,-52.0
Gliese & Jahreiss (GJ) 2037,-30.6,-36.1,-34.6
Giclas (G) 171-52,-33.4,64.9,-26.5
Gliese (Gl) 181,-52.0,21.0,4.9
Gliese (Gl) 182,-47.0,-15.0,-22.0
Gliese (Gl) 183,-23.23,-11.0,-12.87
Steph 538,-21.0,-4.0,-7.4
Gliese (Gl) 184,-43.7,19.6,6.34
Henry Draper (HD) 32387,-255.0,6.85,-41.9
Gliese (Gl) 186,-39.0,-38.0,-35.0
Eta(1) Pictoris,-16.9,-65.7,-51.9
Gliese (Gl) 187.1,-62.9,-149.0,-121.0
Luyten Palomar (LP) 777-1,-47.9,-37.1,-36.3
Gliese (Gl) 17.2,6.2,4.3,-73.0
Henry Draper (HD) 32850,-74.9,-10.1,-20.1
Zeta Doradus,-2.162,-30.43,-22.66
13 Orionis,-86.1,-18.5,-27.6
Gliese & Jahreiss (GJ) 1075,-2.2,-32.0,-24.0
Beta Eridani,-72.8,-34.9,-37.2
68 Eridani,-67.3,-31.5,-33.5
The Gliese catalog lists this star as being about 55 light-years away,-790.0,-90.0,-182.0
Woolley (Wo) 9177,-50.8,-139.0,-107.0
Kapteyn's Star,-3.465,-9.776,-7.463
Henry Draper Extension (HDE) 241814,-84.0,-5.5,-16.0
9 Ceti,-3.2,18.5,-63.8
Luyten Two-Tenth (LTT) 17767,-75.5,-18.8,-24.4
Gliese (Gl) 193,-72.2,-54.8,-48.1
Gliese (Gl) 196,-43.7,45.4,26.8
Lambda Aurigae,-40.3,8.55,1.52
Gliese (Gl) 198,-55.1,-46.3,-37.9
Henry Draper (HD) 34865,-56.0,-43.5,-35.6
Gliese & Jahreiss (GJ) 1077,13.0,-34.0,-22.0
Gliese & Jahreiss (GJ) 2041,-888.0,-368.0,-330.0
Gliese (Gl) 201,-45.7,-6.01,-8.01
111 Tauri,-46.7,-6.2,-8.04
Gliese & Jahreiss (GJ) 2004,9.76,-2.55,-71.8
Gliese & Jahreiss (GJ) 1079,-27.9,-41.8,-29.9
Gliese (Gl) 203,-30.8,-7.89,-7.72
Gliese & Jahreiss (GJ) 1080,-55.9,-20.8,-18.2
Gliese (Gl) 204,-35.7,-17.9,-14.1
Gliese (Gl) 204.1,-0.69,-53.2,-35.3
Woolley (Wo) 9181,29.3,-94.2,-60.8
Gliese (Gl) 205,-15.62,-8.031,-6.007
Gliese (Gl) 206,-43.4,-11.5,-10.1
V371 Orionis,-44.0,-18.0,-14.0
Gliese & Jahreiss (GJ) 1082,-60.0,12.0,5.4
Gliese (Gl) 18,4.55,3.25,-58.5
Gliese (Gl) 208,-35.4,-9.04,-6.69
<B>Source for orbit data:</B> Vogt,-107.0,-11.9,-10.1
Henry Draper (HD) 37008,-61.8,22.2,12.8
Henry Draper (HD) 37199,-363.0,94.0,53.0
Woolley (Wo) 9185,3.18,-89.2,-56.8
Nu(2) Columbae,-74.2,-98.2,-63.6
49 Orionis,-124.0,-75.8,-49.6
Gliese (Gl) 210,-61.8,-159.0,-102.0
Gliese (Gl) 211,-36.3,14.2,8.63
Gliese (Gl) 212,-37.0,14.4,8.82
Gliese & Jahreiss (GJ) 2005,2.17,1.32,-24.4
Woolley (Wo) 9188,-67.0,-13.0,-9.4
Gliese (Gl) 213,-18.1,-4.41,-3.03
Gliese (Gl) 215,-38.1,21.1,13.4
Pi Mensae,19.71,-47.53,-29.65
Henry Draper (HD) 38114,-67.8,3.59,1.97
Gliese (Gl) 217,-66.4,7.86,5.85
Zeta Leporis,-50.7,-42.0,-24.4
Gliese (Gl) 217.2,13.1,-70.2,-43.1
Gliese & Jahreiss (GJ) 1084,-12.0,-48.0,-29.0
Gliese & Jahreiss (GJ) 1085,-42.6,-24.2,-13.4
CN Leonis,-1.896,-3.902,6.478
Beta Hydri,10.61,-15.34,-15.69
Beta Pictoris,-10.93,-53.11,-31.84
Gliese & Jahreiss (GJ) 1086,-31.6,-15.3,-8.26
Gliese (Gl) 221,-53.0,-33.0,-17.0
Bonner Durchmusterung (BD) +48°1318,-50.0,15.0,11.0
Gliese (Gl) 223,-77.4,-35.6,-16.7
Gliese (Gl) 223.2,-17.6,-10.3,-5.24
Gliese (Gl) 224,-88.1,-22.8,-7.91
Gliese (Gl) 224.1,3.16,-76.7,-45.0
Gliese & Jahreiss (GJ) 1087,-23.9,-9.52,-4.38
Eta Leporis,-35.8,-30.0,-15.1
Kappa Phoenicis,16.4,-15.1,-73.4
Beta Aurigae,-78.8,17.1,15.6
Gliese (Gl) 225.1,-68.1,-136.0,-71.9
Henry Draper (HD) 41190,-63.0,-12.0,-1.7
Gliese (Gl) 226.2,-63.0,42.0,29.0
Gliese (Gl) 226.3,-85.2,4.59,11.4
Luyten Two-Tenth (LTT) 2450,-23.8,-74.2,-38.9
Gliese (Gl) 227,-48.8,-12.5,-1.7
Woolley (Wo) 9202,-2.19,-78.3,-42.9
<B>Source for orbit data:</B> Allard & Marley,-11.79,-13.48,-5.817
Bonner Durchmusterung (BD) +63°0639,-67.0,37.0,28.0
Woolley (Wo) 9016,-75.6,128.0,-38.8
Henry Draper (HD) 42618,-69.3,-29.0,-6.59
Woolley (Wo) 9204,-41.4,-107.0,-52.1
Woolley (Wo) 9205,-62.2,45.6,32.9
Gliese (Gl) 230,-55.6,-19.6,-3.01
Henry Draper (HD) 43162,-32.5,-40.3,-16.9
Alpha Mensae,7.878,-27.88,-16.0
71 Orionis,-67.3,-14.5,1.82
74 Orionis,-60.7,-20.2,-1.6
Giclas (G) 105-30,-66.7,-28.9,-4.68
Henry Draper (HD) 45184,-37.5,-57.3,-21.8
Gliese (Gl) 22.2,21.9,-27.9,-75.7
Gliese (Gl) 239,-30.7,-8.83,3.06
Nu(2) Canis Majoris,-41.7,-47.8,-12.7
Gliese (Gl) 240.1,-36.56,36.94,26.24
Gliese (Gl) 241,-55.4,-10.5,9.11
Cordoba Durchmusterung (CD) -55°1514,-3.41,-38.9,-17.1
Xi Geminorum,-53.2,-20.5,5.07
Gliese (Gl) 243,-45.7,-71.1,-19.6
Psi(5) Aurigae,-50.8,6.54,16.7
Gliese (Gl) 245.1,-36.5,-67.3,-20.1
Gliese (Gl) 246,-50.2,1.51,13.9
Henry Draper (HD) 3302,26.5,-32.4,-110.0
Giclas (G) 108-26,-51.6,-30.1,0.26
Gliese (Gl) 247,-44.7,20.1,21.5
Alpha Pictoris,3.15,-90.3,-40.3
Gliese (Gl) 249,-56.6,10.8,21.2
Gliese (Gl) 249.1,-18.4,-75.4,-27.3
Woolley (Wo) 9219,-42.2,-70.7,-17.2
Gliese (Gl) 251,-17.3,-0.89,4.7
Gliese (Gl) 251.1,-145.0,-61.0,19.0
37 Geminorum,-54.0,-10.3,12.4
Gliese (Gl) 253,-8.53,-103.0,-40.6
Henry Draper (HD) 3335,-75.5,143.0,-220.0
Gliese (Gl) 254,-58.3,-6.0,15.9
Woolley (Wo) 9222,43.2,-151.0,-77.0
Henry Draper (HD) 51534,-62.8,-24.1,9.34
Gliese (Gl) 256,-50.8,-51.9,-4.94
Luyten Half-Second (LHS) 1889,-58.3,-4.79,16.6
Gliese (Gl) 257.1,-60.5,12.1,25.1
Gliese (Gl) 258,-37.6,24.2,22.0
Gliese (Gl) 259,-25.2,-39.7,-7.57
Gliese (Gl) 260,1.696,-55.42,-23.02
Gliese (Gl) 261,-32.0,-26.0,-0.4
Gliese & Jahreiss (GJ) 2010,-0.6,6.4,-52.0
Henry Draper (HD) 53501,39.9,-261.0,-119.0
Gliese & Jahreiss (GJ) 1094,-46.3,-39.7,-0.11
Gliese (Gl) 262,-59.3,-8.12,17.1
Bonner Durchmusterung (BD) -6°15,-4.99,32.7,-76.4
Bonner Durchmusterung (BD) -9°40,-6.87,38.9,-108.0
Gliese & Jahreiss (GJ) 1008,-3.64,21.5,-64.1
Gliese (Gl) 17.1,14.2,-12.9,-55.3
Cordoba Durchmusterung (CD) -51°89,19.1,-20.5,-62.9
Cape Photographic Durchmusterung (CPD) -63°51,29.0,-39.6,-68.1
Gliese (Gl) 27.1,13.6,-17.0,-71.5
Gliese (Gl) 26,-17.2,30.1,-21.8
Bonner Durchmusterung (BD) +23°97,-56.2,91.9,-86.3
Cordoba Durchmusterung (CD) -50°210,14.8,-22.8,-64.9
Gliese (Gl) 16,-11.6,30.7,-41.5
Gliese (Gl) 38,-33.0,50.1,-4.51
Gliese (Gl) 46,-1.12,-1.15,-42.7
Gliese & Jahreiss (GJ) 2018,-5.81,0.16,-107.0
Gliese (Gl) 54,8.52,-14.9,-20.3
Gliese (Gl) 56.2,13.0,-38.0,-101.0
Gliese (Gl) 57,2.59,-14.7,-52.9
Cordoba Durchmusterung (CD) -47°399,7.62,-25.4,-71.6
54 Piscis,-13.62,23.57,-23.91
Cordoba Durchmusterung (CD) -22°526,-11.3,-1.23,-56.7
Gliese (Gl) 65.2,7.29,-47.5,-122.0
Cordoba Durchmusterung (CD) -42°594,-0.06,-26.0,-77.0
Bonner Durchmusterung (BD) -17°400,-35.7,-3.97,-90.7
Bonner Durchmusterung (BD) +60°637,-91.0,78.0,7.3
Gliese (Gl) 143.1,-43.7,-14.5,-53.6
Gliese (Gl) 143.3,-52.6,8.22,-34.8
Henry Draper (HD) 22918,-108.0,-17.4,-97.8
Gliese (Gl) 155.3,-27.2,-45.3,-63.5
Giclas (G) 222-1,-65.6,81.0,43.9
Gliese (Gl) 27.2,-0.55,6.59,-92.9
Gliese (Gl) 160.2,-44.1,-32.0,-54.0
Gliese (Gl) 161.2,-47.7,-99.9,-121.0
Gliese & Jahreiss (GJ) 1076,-99.7,44.1,21.0
Gliese (Gl) 218,-20.5,-38.2,-22.6
Gliese (Gl) 223.1,-97.9,-69.3,-35.1
Gliese & Jahreiss (GJ) 2049,-49.0,-60.0,-22.0
Gliese (Gl) 237,-22.6,-69.9,-28.8
Gliese (Gl) 240,-8.66,-44.8,-18.9
Gliese (Gl) 264,-14.5,-51.2,-15.3
Giclas (G) 250-34,-44.0,27.0,26.0
Wobbles in Lalande 21185's position were once thought to indicate an unseen object orbiting it,-3.359,-0.32,7.596
Gliese (Gl) 28,-27.1,44.5,-21.5
Gliese (Gl) 266,-66.0,-41.0,6.9
Woolley (Wo) 9224,-29.8,-144.0,-45.2
Henry Draper (HD) 53927,-68.8,-9.32,21.3
Bonner Durchmusterung (BD) +7°1684,-165.0,-95.6,33.9
QY Aurigae,-19.4,0.24,7.27
Bonner Durchmusterung (BD) -14°1750,-55.0,-61.8,-2.73
Henry Draper (HD) 55526,-52.6,-294.0,-91.2
I Puppis,-13.9,-65.0,-18.8
Gliese & Jahreiss (GJ) 1095,-49.5,8.18,22.5
Gliese (Gl) 268.2,4.55,-60.4,-24.1
Gliese (Gl) 29,25.3,-36.1,-70.4
Gliese (Gl) 268.3,-37.6,-7.34,12.2
Giclas white Dwarf (GD) 294,-33.0,13.0,18.0
Henry Draper (HD) 56274,-72.9,-80.0,-0.31
Woolley (Wo) 9228,-178.0,-212.0,-6.16
Gliese (Gl) 268.4,-54.9,-177.0,-42.5
Gliese (Gl) 270,-60.1,-6.0,22.5
Gliese (Gl) 272,-50.2,7.12,23.0
Gliese & Jahreiss (GJ) 2057,-71.9,-33.9,19.1
Luyten's Star,-10.23,-6.58,2.346
Gliese (Gl) 273.1,-62.0,-8.0,25.0
Gliese & Jahreiss (GJ) 2012,-0.4,3.0,-32.0
22 Lyncis,-56.7,11.4,29.4
Gliese (Gl) 275,-8.21,-70.3,-19.6
Gliese (Gl) 275.1,-44.0,28.0,29.0
Henry Draper (HD) 59380,-64.5,-63.2,8.52
Gliese (Gl) 276,-60.6,-27.6,18.9
Gliese & Jahreiss (GJ) 1098,-46.0,24.2,28.5
Henry Draper (HD) 59967,-23.2,-66.3,-10.8
Gliese (Gl) 277.1,-36.4,18.1,22.3
Vyssotsky McCormick (McC) 499,-39.0,12.0,22.0
Gliese (Gl) 279,-44.6,-71.0,-1.19
FF Andromedae,-36.2,58.9,-35.3
Woolley (Wo) 9237,-85.9,-75.5,18.0
Gliese (Gl) 281,-37.9,-28.5,10.2
Bonner Durchmusterung (BD) +49°1658,-75.3,14.0,42.0
Gliese (Gl) 284,-15.0,-76.0,-14.2
YZ Canis Minoris,-15.1,-11.1,4.67
Gliese (Gl) 285.1,-65.8,45.4,47.3
Pollux,-30.05,-6.723,13.72
Gliese (Gl) 287,-61.9,-47.7,18.6
Gliese (Gl) 290,-33.35,34.84,27.63
Woolley (Wo) 9242,4.03,-104.0,-30.3
Gliese (Gl) 30,-31.2,50.5,-32.6
Gliese (Gl) 291.1,-11.6,-111.0,-23.2
Bonner Durchmusterung (BD) +26°1665,-62.4,-16.7,29.1
Gliese & Jahreiss (GJ) 1104,-81.3,-15.1,41.3
Gliese (Gl) 292.1,-55.5,-22.9,25.4
Gliese (Gl) 292.2,-45.3,-40.7,15.0
Gliese (Gl) 293,3.76,-20.9,-7.5
Gliese & Jahreiss (GJ) 1105,-23.0,0.39,13.4
Gliese & Jahreiss (GJ) 1106,-19.9,-56.3,-2.34
Gliese (Gl) 293.2,-26.5,-53.1,2.29
Henry Draper (HD) 65430,-64.0,-24.9,31.3
Beta Ceti,-6.74,14.3,-94.5
Woolley (Wo) 9247,-30.3,-90.5,-4.39
Henry Draper (HD) 65723,-11.0,-37.0,-2.5
Gliese (Gl) 295,-47.4,-10.6,25.3
Gliese (Gl) 295.1,-92.5,-50.0,42.3
Gliese (Gl) 296,-15.0,-59.0,-5.7
Bonner Durchmusterung (BD) +44°1710,-70.1,4.63,43.5
Henry Draper (HD) 67199,8.481,-52.96,-17.28
Gliese & Jahreiss (GJ) 1107,-76.7,-10.2,44.6
Gliese (Gl) 296.1,-31.6,-77.2,2.69
Gliese (Gl) 296.2,-66.4,45.3,51.4
Henry Draper (HD) 4075,-63.9,99.3,28.0
Luyten (L) 97-3,12.0,-71.0,-23.0
B Carinae,6.07,-67.1,-18.0
Woolley (Wo) 9256,-60.0,-10.3,36.2
Gliese (Gl) 299,-16.9,-11.5,8.21
Woolley (Wo) 9258,-186.0,-218.0,76.3
Gliese (Gl) 300,-9.1,-16.7,2.3
Woolley (Wo) 9259,-33.0,-152.0,-8.94
Henry Draper (HD) 68835,-31.0,-21.0,16.0
Henry Draper (HD) 68834,-46.7,-27.7,25.1
Gliese (Gl) 301.1,-61.2,-13.3,38.6
Woolley (Wo) 9024,0.68,2.41,-107.0
Gliese (Gl) 302,-22.9,-32.73,9.388
Bonner Durchmusterung (BD) -14°2469,-58.9,-91.6,23.0
Gliese & Jahreiss (GJ) 1109,-23.9,-89.9,-0.33
Chi Cancri,-48.6,-14.1,30.5
Bonner Durchmusterung (BD) +14°1876,-59.0,-34.5,34.3
<B>Source for orbit data:</B> Liverpool John Moores University,-19.6,-91.7,-2.42
Henry Draper (HD) 70401,-49.7,-10.1,32.7
Alpha Chamaeleontis,20.12,-55.36,-23.59
Gliese (Gl) 305.1,-70.5,-29.1,44.2
Luyten Half-Second (LHS) 246,-28.2,19.0,22.6
Gliese (Gl) 31.3,-3.35,8.0,-90.4
Bonner Durchmusterung (BD) +33°1694,-111.0,-20.3,74.6
1 Hydrae,-56.1,-62.3,29.2
Gliese (Gl) 306.1,-42.1,-119.0,10.9
Gliese (Gl) 307.1,-57.2,5.25,41.8
Beta Volantis,18.8,-102.0,-29.6
Gliese (Gl) 308.1,-46.0,21.7,36.0
DX Cancri,-9.54,-2.92,6.34
Gliese & Jahreiss (GJ) 1112,-58.5,-10.5,40.3
Gliese (Gl) 309,-11.77,-37.74,3.611
Woolley (Wo) 9269,-40.2,-91.1,17.9
Gliese (Gl) 31.4,-18.1,30.0,-62.7
Gliese (Gl) 310,-31.3,19.6,26.3
Henry Draper (HD) 72760,-45.8,-46.1,28.4
Pi(1) Ursae Majoris,-32.7,18.4,27.5
Woolley (Wo) 9273,-43.9,-57.4,26.9
Gliese (Gl) 312,-15.4,-88.3,1.1
Gliese (Gl) 315,-42.9,-30.2,30.0
Gliese & Jahreiss (GJ) 1113,-79.4,2.59,62.4
Gliese (Gl) 316,-56.7,-74.1,35.9
Gliese (Gl) 318,-7.69,-27.9,2.82
Gliese (Gl) 320,-6.407,-35.73,1.514
Sirius,-5.745,-6.275,-1.262
Gliese (Gl) 31.5,24.5,-36.7,-56.0
Gliese (Gl) 321,-66.0,-0.055,53.2
Gliese (Gl) 321.1,-28.3,-227.0,0.75
Gliese (Gl) 321.2,-11.1,-89.8,0.39
Gliese (Gl) 322,-36.7,22.1,32.5
Henry Draper (HD) 75404,-59.0,-8.9,47.0
Gliese & Jahreiss (GJ) 1115,-64.0,-9.66,54.1
Gliese (Gl) 327,-30.0,-40.9,23.2
Gliese (Gl) 328,-39.0,-42.2,31.1
Gliese (Gl) 329,-33.7,-92.8,23.6
Henry Draper (HD) 76653,4.8,-78.1,-8.68
18 Ceti,-12.9,22.7,-101.0
Gliese (Gl) 330,-35.5,-26.9,29.6
Gliese (Gl) 330.1,-47.5,-24.4,40.8
Gliese & Jahreiss (GJ) 1117,-49.8,-10.0,42.6
Henry Draper (HD) 76932,-29.0,-58.9,22.9
TY Pyxidis,-50.8,-171.0,38.1
Gliese (Gl) 333.1,10.4,-83.8,-12.7
Giclas (G) 252-27,-50.0,42.0,46.0
Alpha Volantis,27.1,-118.0,-28.1
Gliese (Gl) 334,-22.2,-36.6,20.2
15 Ursae Majoris,-68.5,16.1,64.7
Gliese & Jahreiss (GJ) 1021,9.53,-13.8,-45.8
Gliese (Gl) 334.1,-69.5,58.9,66.2
Gliese (Gl) 334.2,-45.0,-8.68,42.4
75 Cancri,-71.7,-26.8,67.4
Henry Draper (HD) 78612,-60.1,-108.0,56.0
Gliese (Gl) 336,-49.5,-10.9,46.9
Henry Draper (HD) 78727,-44.0,-44.0,40.0
Gliese (Gl) 336.1,-58.8,6.75,56.4
Henry Draper (HD) 78899,-85.6,15.3,82.5
16 Ursae Minoris,-43.2,21.3,41.8
Gliese (Gl) 339.1,-23.8,6.88,22.9
Gliese (Gl) 33,-7.106,11.05,-20.48
18 Ursae Majoris,-82.6,24.9,81.1
K Velorum,-20.1,-163.0,23.5
Henry Draper (HD) 79873,-118.0,-148.0,121.0
Bonner Durchmusterung (BD) +27°1739,-43.0,-16.0,43.0
Henry Draper (HD) 80545,10.3,-75.5,-7.85
Gliese (Gl) 340.2,-49.7,-62.7,52.6
Gliese (Gl) 340.3,-35.9,-58.2,39.1
Gliese & Jahreiss (GJ) 1124,-55.1,-2.26,56.8
Gliese (Gl) 341,5.81,-33.4,-4.37
Gliese (Gl) 341.1,-41.7,46.9,41.0
64 Piscis,-29.7,45.7,-55.8
Gliese (Gl) 342,-38.5,36.7,38.2
Gliese (Gl) 343.1,-71.7,-4.2,76.7
Henry Draper (HD) 81762,-39.0,-31.2,44.0
Gliese (Gl) 346,-27.0,-52.0,32.0
Woolley (Wo) 9299,-33.2,-56.2,40.5
Gliese (Gl) 349,-21.7,-24.3,25.5
23 Ursae Majoris,-48.7,27.4,50.7
Gliese (Gl) 353,-29.4,-4.17,32.6
LQ Hydrae,-22.0,-47.6,28.7
24 Ursae Majoris,-64.8,49.6,67.0
van Maanen's Star,-4.014,6.457,-11.91
Gliese (Gl) 355.2,-87.6,-297.0,126.0
Gliese (Gl) 357,-7.25,-26.1,11.1
Gliese & Jahreiss (GJ) 1127,-43.4,-23.2,52.0
Gliese (Gl) 358,-0.58,-30.6,4.69
Gliese (Gl) 361,-20.0,-17.6,25.7
Gliese & Jahreiss (GJ) 2074,-28.0,-32.0,37.0
Gliese (Gl) 364,-9.93,-44.0,18.0
Gliese (Gl) 365,-37.5,1.12,44.2
Giclas (G) 161-68,-29.0,-57.0,42.0
Gliese (Gl) 367,1.38,-29.8,2.98
Gliese (Gl) 36,-2.55,3.7,-61.3
15 Leonis Minoris,-38.3,4.73,46.1
Giclas (G) 195-42,-47.6,15.3,55.0
Gliese (Gl) 369,-11.4,-30.8,20.0
Gliese (Gl) 370,1.33,-35.97,5.192
Gliese (Gl) 371,-29.5,-42.0,45.2
Gliese (Gl) 372,-18.9,-35.9,31.1
Gliese (Gl) 373,-20.8,12.4,24.1
Gliese (Gl) 374,2.17,-108.0,20.9
19 Leonis Minoris,-57.4,-0.35,74.8
Eggen/Greenstein white dwarf (EG) 69,-44.5,-22.4,61.6
Phi(2) Ceti,-8.13,12.1,-48.3
Gliese (Gl) 375,4.47,-51.3,6.07
DH Leonis,-57.7,-30.0,83.5
20 Leonis Minoris,-27.9,-7.73,39.0
Gliese (Gl) 377,-4.09,-49.1,17.6
Gliese & Jahreiss (GJ) 2077,-34.9,-31.1,53.3
Gliese (Gl) 378,-29.5,5.81,38.2
Henry Draper (HD) 86972,-19.7,-70.4,43.9
Gliese (Gl) 378.1,-54.5,5.37,72.0
Gliese (Gl) 378.2,-27.6,-44.3,50.8
21 Leonis Minoris,-51.7,-9.0,74.5
Cordoba Durchmusterung (CD) -28°258,-0.7,-0.6,-163.0
Woolley (Wo) 9315,-30.7,-112.0,74.5
Gliese (Gl) 379.2,2.04,-143.0,40.3
Gliese (Gl) 380,-9.337,2.338,12.64
Gliese (Gl) 381,-9.02,-18.8,18.4
Gliese (Gl) 382,-7.72,-17.6,16.7
Gliese (Gl) 383,-9.12,-47.2,28.1
Gliese (Gl) 383.1,-43.5,14.9,58.6
Gliese (Gl) 385.1,-1.06,-70.0,24.4
Woolley (Wo) 9321,-41.8,-115.0,98.8
Woolley (Wo) 9322,-41.8,-70.7,84.5
Gliese (Gl) 39,-28.6,42.8,-49.4
Gliese & Jahreiss (GJ) 2079,-32.0,-22.1,54.1
Henry Draper (HD) 88737,-81.2,-55.8,138.0
Luyten (L) 190-21,7.77,-35.4,0.21
Gliese (Gl) 386,-9.51,-35.0,26.4
Henry Draper (HD) 89269,-37.7,3.98,55.6
Henry Draper (HD) 89391,-4.6,-64.0,30.0
AD Leonis,-7.45,-5.51,13.0
40 Leonis,-31.2,-24.3,56.6
<B>Source for orbit data:</B> Korzennik,-69.2,1.67,107.0
UV Ceti,-2.102,0.169,-8.29
Gliese (Gl) 41,-33.4,50.5,-1.56
Gliese & Jahreiss (GJ) 1133,-30.3,20.5,38.5
Henry Draper (HD) 89906,-38.6,-38.5,75.2
Woolley (Wo) 9327,-169.0,125.0,215.0
Henry Draper (HD) 90156,-1.17,-66.2,28.4
Gliese (Gl) 389.1,-17.8,-67.4,55.3
Gliese (Gl) 390,-8.1,-30.7,25.5
I Carinae,20.33,-47.07,-12.97
Gliese (Gl) 392.1,-36.0,46.1,38.6
Henry Draper (HD) 90711,-23.2,-74.5,70.0
McCook & Sion White Dwarf (WD) 1026+2,-17.1,-37.3,42.8
Gliese (Gl) 42,0.7,-2.37,-45.9
Gliese (Gl) 393,-6.67,-14.6,17.3
Gliese (Gl) 394,-25.0,12.0,35.0
36 Ursae Majoris,-23.12,11.16,33.12
Henry Draper (HD) 90875,-40.2,23.8,55.7
Gliese (Gl) 396,-34.7,46.7,36.4
Gliese (Gl) 397,-27.2,4.73,43.0
Gliese (Gl) 397.2,16.5,-69.2,4.46
Gliese (Gl) 398,-13.6,-24.6,34.7
Gliese (Gl) 398.1,-11.2,-61.3,50.5
Luyten Half-Second (LHS) 2293,-3.01,-39.8,25.3
Gliese (Gl) 42.1,-42.9,61.8,-59.8
Gliese & Jahreiss (GJ) 1135,5.61,-50.0,17.4
Henry Draper (HD) 92945,2.84,-63.1,30.9
Gliese & Jahreiss (GJ) 1137,7.98,-86.9,35.7
Henry Draper (HD) 93380,0.62,-56.9,33.2
Bonner Durchmusterung (BD) +22°2271,-40.4,-32.0,96.0
Luyten Half-Second (LHS) 292,-1.74,-10.9,9.74
Gliese (Gl) 402,-5.64,-11.5,18.5
Gliese (Gl) 402.1,-30.2,-94.4,122.0
Gliese (Gl) 403,-12.0,-16.0,33.0
Woolley (Wo) 9336,-0.61,-111.0,76.0
Giclas (G) 270-98,-12.0,16.0,-73.0
Gliese & Jahreiss (GJ) 1139,-37.3,42.0,46.1
Gliese (Gl) 403.1,-0.77,-83.9,58.4
Gliese (Gl) 404,39.0,-180.0,44.2
Gliese (Gl) 404.1,30.8,-91.7,0.8
Woolley (Wo) 9340,24.1,-230.0,110.0
Henry Draper (HD) 94765,-13.4,-28.4,47.8
Gliese (Gl) 406.1,-38.5,36.8,52.9
Gliese & Jahreiss (GJ) 1140,-4.57,-26.9,28.0
Woolley (Wo) 9342,-46.3,15.7,85.0
47 Ursae Majoris,-20.09,1.436,41.25
Henry Draper (HD) 5425,-0.014,-4.73,-99.4
Gliese (Gl) 408,-7.25,-5.55,19.6
Henry Draper (HD) 95486,-19.0,-26.0,60.0
48 Ursae Majoris,-38.7,23.3,65.3
Gliese (Gl) 410,-12.2,-10.2,34.5
Gliese (Gl) 412.1,135.0,-344.0,-13.8
Gliese (Gl) 412.2,11.1,-75.0,39.6
Gliese (Gl) 412.3,10.0,-75.8,42.9
Henry Draper (HD) 96937,-14.5,-54.5,82.2
Gliese (Gl) 413.1,3.05,-29.2,18.9
Woolley (Wo) 9350,46.7,-185.0,56.4
Henry Draper (HD) 5351,-43.4,65.0,8.85
Bonner Durchmusterung (BD) -9°3222,-4.44,-88.7,89.8
