name,ly_galactic_x,ly_galactic_y,ly_galactic_z
Gliese (Gl) 812.1,52.9,-2.82,-46.5
Bonner Durchmusterung (BD) +42°3917,7.7,76.0,-2.2
Gliese (Gl) 813,15.6,40.1,-11.6
Henry Draper (HD) 199620,47.0,9.0,-41.0
Henry Draper (HD) 199957,11.0,72.0,-6.9
Woolley (Wo) 9714,49.1,10.8,-43.8
Henry Draper (HD) 11373,-45.8,55.5,5.54
Gliese (Gl) 816,27.7,26.2,-24.1
Gliese (Gl) 817,42.0,26.3,-38.0
Gliese (Gl) 818,23.7,36.5,-21.2
Gliese (Gl) 820.1,31.3,-36.3,-29.6
Chi Capricorni,130.0,67.5,-122.0
Bonner Durchmusterung (BD) +24°4329,32.9,105.0,-29.9
Gliese (Gl) 821,25.3,18.9,-23.9
Woolley (Wo) 9722,-10.8,76.7,11.1
Woolley (Wo) 9724,33.7,-1.41,-32.4
Woolley (Wo) 9726,75.9,2.97,-73.2
Gliese (Gl) 79,-9.1,-2.88,-34.9
Henry Draper (HD) 201924,3.17,99.7,-3.4
Gliese (Gl) 822.2,12.0,44.0,-13.0
Gliese (Gl) 824,22.9,41.1,-23.8
AX Microscopii,9.097,0.673,-9.08
Gliese (Gl) 825.1,47.0,-23.0,-46.0
Gliese (Gl) 825.2,54.8,-1.99,-54.9
Gliese (Gl) 825.3,32.2,42.0,-33.6
Luyten (L) 212-19,50.2,-17.7,-49.1
Alpha Cephei,-9.398,47.24,7.821
Gliese & Jahreiss (GJ) 1261,-5.9,64.0,3.7
The Sign,-36.8,27.8,-37.7
Woolley (Wo) 9735,149.0,-34.0,-150.0
Gliese (Gl) 826.1,34.3,20.0,-35.7
