pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_masse,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
HAT-P-18,b,Transit,5.508023,0.0559,0.084,62.6263,0.197,0.995,0.995,0.25,88.8,166,,4803,0.77,0.75,,,,11.153,2010
HAT-P-19,b,Transit,4.008778,0.0466,0.067,92.8268,0.292,1.132,1.132,,88.2,215,,4990,0.84,0.82,,,,12.689,2010
HAT-P-2,b,Transit,5.6334729,0.06878,0.5171,2889.711,9.09,1.157,1.157,7.29,86.72,110.3,8.689,6290,1.36,1.64,HD 147506,HIP 80076,0.461,12.97,2007
HAT-P-20,b,Transit,2.875317,0.0361,0.015,2303.5034,7.246,0.867,0.867,13.78,86.8,70,,4595,0.76,0.69,,,,9.718,2010
HAT-P-21,b,Transit,4.124481,0.0494,0.228,1291.6277,4.063,1.024,1.024,4.68,87.2,254,,5588,0.95,1.1,,,,11.478,2010
HAT-P-22,b,Transit,3.21222,0.0414,0.016,682.5313,2.147,1.08,1.08,2.11,86.9,82,,5302,0.92,1.04,HD 233731,,,12.106,2010
HAT-P-23,b,Transit,1.212884,0.0232,0.106,664.411,2.09,1.368,1.368,1.01,85.1,393,,5905,1.13,1.2,,,,15.334,2010
HAT-P-24,b,Transit,3.35524,0.0465,0.067,217.7615,0.685,1.242,1.242,0.44,88.6,396,,6373,1.19,1.32,,,,13.922,2010
HAT-P-25,b,Transit,3.652836,0.0466,0.032,180.2493,0.567,1.19,1.19,0.42,87.6,297,,5500,1.01,0.96,,,,13.339,2010
HAT-P-26,b,Transit,4.234516,0.0479,0.124,18.7561,0.059,0.565,0.565,0.4,88.6,134,,5079,0.82,0.79,,,,6.333,2010
HAT-P-27,b,Transit,3.039586,0.0403,0.078,209.814,0.66,1.038,1.038,0.73,84.7,204,,5300,0.94,0.9,,,,11.635,2011
HAT-P-28,b,Transit,3.257215,0.0434,0.051,199.0054,0.626,1.212,1.212,0.44,88,395,,5680,1.02,1.1,,,,13.585,2011
HAT-P-29,b,Transit,5.723186,0.0667,0.095,247.3262,0.778,1.107,1.107,0.71,87.1,322,,6087,1.21,1.22,,,,12.408,2011
HAT-P-3,b,Transit,2.899736,0.03866,0,187.8789,0.591,0.827,0.827,1.29,87.07,138.7,11.577,5185,0.92,0.8,,,0.671,9.27,2007
HAT-P-30,b,Transit,2.810595,0.0419,0.035,226.0269,0.711,1.34,1.34,0.37,83.6,193,,6304,1.24,1.22,,,,15.02,2011
HAT-P-31,b,Transit,5.005425,0.055,0.245,690.1609,2.171,1.07,1.07,2.18,87.1,354,,6065,1.22,1.36,,,,11.994,2011
HAT-P-31,c,Radial Velocity,1022,,,0,,,,,,354,,6065,1.22,1.36,,,,,2011
HAT-P-32,b,Transit,2.150008,0.0343,0,273.394,0.86,1.789,1.789,0.19,88.9,283,,6207,1.16,1.22,,,,20.053,2011
HAT-P-33,b,Transit,3.474474,0.0499,0,242.2398,0.762,1.686,1.686,0.2,87.2,387,,6446,1.38,1.64,,,,18.898,2011
HAT-P-34,b,Transit,5.452654,0.0677,0.441,1057.9712,3.328,1.197,1.197,2.4,87.1,257,,6442,1.39,1.53,HD 351766,,,13.417,2012
HAT-P-35,b,Transit,3.646706,0.0498,0.025,335.0666,1.054,1.332,1.332,0.55,87.3,535,,6096,1.24,1.44,,,,14.93,2012
HAT-P-36,b,Transit,1.327347,0.0238,0.063,582.3928,1.832,1.264,1.264,1.12,86,317,,5560,1.02,1.1,,,,14.168,2012
HAT-P-37,b,Transit,2.797436,0.0379,0.058,371.6251,1.169,1.178,1.178,0.89,86.9,411,,5500,0.93,0.88,,,,13.204,2012
HAT-P-38,b,Transit,4.640382,0.0523,0.067,84.8793,0.267,0.825,0.825,0.59,88.3,249,,5330,0.89,0.92,,,,9.247,2012
HAT-P-39,b,Transit,3.54387,0.0509,0,190.4221,0.599,1.571,1.571,0.19,87,642,,6430,1.4,1.62,,,,17.609,2012
HAT-P-4,b,Transit,3.0565114,0.04438,0,216.172,0.68,1.332,1.332,0.403,89.67,314,11.118,5860,1.26,1.6,,,0.713,14.93,2007
HAT-P-40,b,Transit,4.457243,0.0608,0,195.5085,0.615,1.73,1.73,0.15,88.3,501,,6080,1.51,2.21,,,,19.392,2012
HAT-P-41,b,Transit,2.694047,0.0426,0,254.32,0.8,1.685,1.685,0.2,87.7,344,,6390,1.42,1.68,,,,18.887,2012
