pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc,pl_pelink
WTS-1,b,Transit,3.352057,0.047,0.1,4.01,1.61,85.5,3200,,6250,1.2,1.15,,,,16.7,2012,http://exoplanet.eu/catalog/wts-1_b/
WASP-25,b,Transit,3.764825,0.0473,0,0.58,0.422,88,,,5703,1,0.92,,,,13.675,2010,http://exoplanet.eu/catalog/wasp-25_b/
HD 209458,b,Radial Velocity,3.52474859,0.04747,0,0.714,0.362,86.59,47.4,7.632,6065,1.15,1.16,HD 209458,HIP 108859,0.579,15.468,1999,http://exoplanet.eu/catalog/hd_209458_b/
BOKS-1,b,Transit,3.90512,0.0477,0,,,89.8,800,,5545,0.95,0.86,,,,12.442,2010,
HAT-P-26,b,Transit,4.234516,0.0479,0.124,0.059,0.4,88.6,134,,5079,0.82,0.79,,,,6.333,2010,http://exoplanet.eu/catalog/hat-p-26_b/
CoRoT-23,b,Transit,3.6313,0.048,0.16,2.8,,85.7,600,,5900,1.14,1.61,,,,11.77,2011,http://exoplanet.eu/catalog/corot-23_b/
Kepler-8,b,Transit,3.52254,0.0483,0,0.603,0.261,84.07,,,6025,,1.56,,,,15.906,2010,http://exoplanet.eu/catalog/kepler-8_b/
WASP-39,b,Transit,4.055259,0.0486,0,0.28,0.186,87.83,230,,5400,0.93,0.9,,,,14.235,2011,http://exoplanet.eu/catalog/wasp-39_b/
HAT-P-8,b,Transit,3.0763402,0.0487,0,1.52,0.568,87.5,230,,6200,1.28,1.58,,,,16.8,2008,http://exoplanet.eu/catalog/hat-p-8_b/
XO-5,b,Transit,4.187757,0.0488,,1.059,0.96,86.7,260,,5370,0.88,1.08,,,,12.431,2008,http://exoplanet.eu/catalog/xo-5_b/
XO-1,b,Transit,3.94150685,0.049,0,0.92,0.64,88.8,172,11.19,5750,1.03,0.94,,,0.66,13.563,2006,http://exoplanet.eu/catalog/xo-1_b/
HAT-P-21,b,Transit,4.124481,0.0494,0.228,4.063,4.68,87.2,254,,5588,0.95,1.1,,,,11.478,2010,http://exoplanet.eu/catalog/hat-p-21_b/
CoRoT-5,b,Transit,4.0378962,0.04947,0.09,0.467,0.217,85.83,,,6100,1,1.19,,,,15.5,2008,http://exoplanet.eu/catalog/corot-5_b/
HAT-P-35,b,Transit,3.646706,0.0498,0.025,1.054,0.55,87.3,535,,6096,1.24,1.44,,,,14.93,2012,http://exoplanet.eu/catalog/hat-p-35_b/
HAT-P-33,b,Transit,3.474474,0.0499,0,0.762,0.2,87.2,387,,6446,1.38,1.64,,,,18.898,2011,http://exoplanet.eu/catalog/hat-p-33_b/
