# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 21:07:36 2012
#
pl_hostname,pl_letter,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_massj,pl_radj,pl_radj,pl_dens,pl_orbincl,st_dist,st_vj,st_teff,st_mass,st_rad,hd_name,hip_name,st_bmvj,pl_rade,pl_disc
GJ 667C,c,Radial Velocity,28.15500000,0.123000,0.270000,,,,,,7.20,,3600.00,0.33,,,,,,2012
GJ 674,b,Radial Velocity,4.69380000,0.039000,0.200000,,,,,,4.54,9.370,3600.00,0.35,,,HIP 85523,1.570,,2007
GJ 676A,b,Radial Velocity,1056.80000000,1.820000,0.326000,,,,,,16.45,9.580,,0.71,,,HIP 85647,1.440,,2009
GJ 832,b,Radial Velocity,3507.00000000,3.460000,0.080000,,,,,,4.93,8.660,3657.00,0.45,0.48,HD 204961,HIP 106440,1.506,,2008
GJ 849,b,Radial Velocity,1845.00000000,2.320000,0.050000,,,,,,9.10,10.370,,0.49,,,HIP 109388,1.500,,2006
GJ 86,b,Radial Velocity,15.76491000,0.113000,0.041600,,,,,,10.90,6.120,5151.00,0.77,,HD 13445,HIP 10138,0.820,,2000
GJ 876,b,Radial Velocity,61.11660000,0.208317,0.032400,,,,,59.000,4.70,10.191,,0.33,,,HIP 113020,1.558,,2000
GJ 876,c,Radial Velocity,30.08810000,0.129590,0.255910,,,,,59.000,4.70,10.191,,0.33,,,HIP 113020,1.558,,2000
GJ 876,d,Radial Velocity,1.93778000,0.020807,0.207000,,,,,59.000,4.70,10.191,,0.33,,,HIP 113020,1.558,,2005
GJ 876,e,Radial Velocity,124.26000000,0.334300,0.055000,,,,,59.000,4.70,10.191,,0.33,,,HIP 113020,1.558,,2010
GQ Lup,b,Imaging,,,,21.50000,1.800,1.800,,,,12.430,,,,,,1.050,20.000,2005
GSC 06214-00210,b,Imaging,,,,14.00000,,,,,145.00,,,0.60,,,,,,2010
HAT-P-1,b,Transit,4.46529340,0.055310,0.000000,0.52400,1.225,1.225,0.34500,86.280,155.00,10.340,5975.00,1.13,1.11,,,0.560,13.730,2006
HAT-P-11,b,Transit,4.88781620,0.053000,0.198000,0.08100,0.422,0.422,1.33000,88.500,38.00,9.472,4780.00,0.81,0.75,,HIP 97657,1.186,4.730,2009
HAT-P-12,b,Transit,3.21305980,0.038400,0.000000,0.21000,0.936,0.936,0.31920,89.000,142.50,,4650.00,0.73,0.70,,,,10.492,2009
HAT-P-13,b,Transit,2.91626000,0.042700,0.021000,0.85100,1.272,1.272,0.49800,83.400,214.00,,5653.00,1.22,1.56,,,,14.258,2009
HAT-P-13,c,Radial Velocity,446.27000000,,0.661600,,,,,,214.00,,5653.00,1.22,1.56,,,,,2009
HAT-P-14,b,Transit,4.62766900,0.060600,0.107000,2.23200,1.150,1.150,1.82000,83.500,205.00,,6600.00,1.39,1.47,,,,12.890,2010
HAT-P-15,b,Transit,10.86350200,0.096400,0.190000,1.94600,1.072,1.072,1.96000,89.100,190.00,,5568.00,1.01,1.08,,,,12.016,2010
HAT-P-16,b,Transit,2.77596000,0.041300,0.036000,4.19300,1.289,1.289,2.42000,86.600,235.00,,6158.00,1.22,1.24,,,,14.448,2010
HAT-P-17,b,Transit,10.33852300,0.088200,0.346000,0.53000,1.010,1.010,0.64000,89.200,90.00,,5246.00,0.86,0.84,,,,11.321,2010
HAT-P-17,c,Radial Velocity,1610.00000000,2.555000,0.086000,,,,,,90.00,,5246.00,0.86,0.84,,,,,2010
HAT-P-18,b,Transit,5.50802300,0.055900,0.084000,0.19700,0.995,0.995,0.25000,88.800,166.00,,4803.00,0.77,0.75,,,,11.153,2010
HAT-P-19,b,Transit,4.00877800,0.046600,0.067000,0.29200,1.132,1.132,,88.200,215.00,,4990.00,0.84,0.82,,,,12.689,2010
HAT-P-2,b,Transit,5.63347290,0.068780,0.517100,9.09000,1.157,1.157,7.29000,86.720,110.30,8.689,6290.00,1.36,1.64,HD 147506,HIP 80076,0.461,12.970,2007
HAT-P-20,b,Transit,2.87531700,0.036100,0.015000,7.24600,0.867,0.867,13.78000,86.800,70.00,,4595.00,0.76,0.69,,,,9.718,2010
HAT-P-21,b,Transit,4.12448100,0.049400,0.228000,4.06300,1.024,1.024,4.68000,87.200,254.00,,5588.00,0.95,1.10,,,,11.478,2010
HAT-P-22,b,Transit,3.21222000,0.041400,0.016000,2.14700,1.080,1.080,2.11000,86.900,82.00,,5302.00,0.92,1.04,HD 233731,,,12.106,2010
HAT-P-23,b,Transit,1.21288400,0.023200,0.106000,2.09000,1.368,1.368,1.01000,85.100,393.00,,5905.00,1.13,1.20,,,,15.334,2010
HAT-P-24,b,Transit,3.35524000,0.046500,0.067000,0.68500,1.242,1.242,0.44000,88.600,396.00,,6373.00,1.19,1.32,,,,13.922,2010
HAT-P-25,b,Transit,3.65283600,0.046600,0.032000,0.56700,1.190,1.190,0.42000,87.600,297.00,,5500.00,1.01,0.96,,,,13.339,2010
HAT-P-26,b,Transit,4.23451600,0.047900,0.124000,0.05900,0.565,0.565,0.40000,88.600,134.00,,5079.00,0.82,0.79,,,,6.333,2010
HAT-P-27,b,Transit,3.03958600,0.040300,0.078000,0.66000,1.038,1.038,0.73000,84.700,204.00,,5300.00,0.94,0.90,,,,11.635,2011
HAT-P-28,b,Transit,3.25721500,0.043400,0.051000,0.62600,1.212,1.212,0.44000,88.000,395.00,,5680.00,1.02,1.10,,,,13.585,2011
HAT-P-29,b,Transit,5.72318600,0.066700,0.095000,0.77800,1.107,1.107,0.71000,87.100,322.00,,6087.00,1.21,1.22,,,,12.408,2011
HAT-P-3,b,Transit,2.89973600,0.038660,0.000000,0.59100,0.827,0.827,1.29000,87.070,138.70,11.577,5185.00,0.92,0.80,,,0.671,9.270,2007
HAT-P-30,b,Transit,2.81059500,0.041900,0.035000,0.71100,1.340,1.340,0.37000,83.600,193.00,,6304.00,1.24,1.22,,,,15.020,2011
HAT-P-31,b,Transit,5.00542500,0.055000,0.245000,2.17100,1.070,1.070,2.18000,87.100,354.00,,6065.00,1.22,1.36,,,,11.994,2011
HAT-P-31,c,Radial Velocity,1022.00000000,,,,,,,,354.00,,6065.00,1.22,1.36,,,,,2011
HAT-P-32,b,Transit,2.15000800,0.034300,0.000000,0.86000,1.789,1.789,0.19000,88.900,283.00,,6207.00,1.16,1.22,,,,20.053,2011
HAT-P-33,b,Transit,3.47447400,0.049900,0.000000,0.76200,1.686,1.686,0.20000,87.200,387.00,,6446.00,1.38,1.64,,,,18.898,2011
HAT-P-34,b,Transit,5.45265400,0.067700,0.441000,3.32800,1.197,1.197,2.40000,87.100,257.00,,6442.00,1.39,1.53,HD 351766,,,13.417,2012
HAT-P-35,b,Transit,3.64670600,0.049800,0.025000,1.05400,1.332,1.332,0.55000,87.300,535.00,,6096.00,1.24,1.44,,,,14.930,2012
HAT-P-36,b,Transit,1.32734700,0.023800,0.063000,1.83200,1.264,1.264,1.12000,86.000,317.00,,5560.00,1.02,1.10,,,,14.168,2012
HAT-P-37,b,Transit,2.79743600,0.037900,0.058000,1.16900,1.178,1.178,0.89000,86.900,411.00,,5500.00,0.93,0.88,,,,13.204,2012
HAT-P-38,b,Transit,4.64038200,0.052300,0.067000,0.26700,0.825,0.825,0.59000,88.300,249.00,,5330.00,0.89,0.92,,,,9.247,2012
HAT-P-39,b,Transit,3.54387000,0.050900,0.000000,0.59900,1.571,1.571,0.19000,87.000,642.00,,6430.00,1.40,1.62,,,,17.609,2012
HAT-P-4,b,Transit,3.05651140,0.044380,0.000000,0.68000,1.332,1.332,0.40300,89.670,314.00,11.118,5860.00,1.26,1.60,,,0.713,14.930,2007
HAT-P-40,b,Transit,4.45724300,0.060800,0.000000,0.61500,1.730,1.730,0.15000,88.300,501.00,,6080.00,1.51,2.21,,,,19.392,2012
HAT-P-41,b,Transit,2.69404700,0.042600,0.000000,0.80000,1.685,1.685,0.20000,87.700,344.00,,6390.00,1.42,1.68,,,,18.887,2012
HAT-P-5,b,Transit,2.78849100,0.040750,0.000000,1.06000,1.252,1.252,0.67000,86.750,342.00,,5960.00,1.16,1.14,,,,14.034,2007
HAT-P-6,b,Transit,3.85300300,0.052370,0.000000,1.05900,1.330,1.330,0.55900,85.510,261.00,,6570.00,1.29,1.46,,,,14.910,2007
HAT-P-7,b,Transit,2.20473040,0.032000,0.039000,1.77600,1.363,1.363,0.87600,80.800,320.00,,6350.00,1.47,1.84,,,,15.278,2008
HAT-P-8,b,Transit,3.07634020,0.048700,0.000000,1.52000,1.500,1.500,0.56800,87.500,230.00,,6200.00,1.28,1.58,,,,16.800,2008
HAT-P-9,b,Transit,3.92289000,0.053000,0.000000,0.78000,1.400,1.400,0.35000,86.500,480.00,,6350.00,1.28,1.32,,,,15.700,2008
HATS-1,b,Transit,3.44645900,0.044400,0.120000,1.85500,1.302,1.302,1.03000,85.600,303.00,,5870.00,0.99,1.04,,,,14.594,2012
HD 100655,b,Radial Velocity,157.57000000,0.760000,0.085000,,,,,,140.85,6.438,,,,HD 100655,HIP 56508,1.031,,2011
HD 100777,b,Radial Velocity,383.70000000,1.030000,0.360000,,,,,,52.80,8.418,,,,HD 100777,HIP 56572,0.778,,2007
HD 10180,c,Radial Velocity,5.75979000,0.064100,0.045000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,d,Radial Velocity,16.35790000,0.128600,0.088000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,e,Radial Velocity,49.74500000,0.269900,0.026000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,f,Radial Velocity,122.76000000,0.492900,0.135000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,g,Radial Velocity,601.20000000,1.422000,0.190000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 10180,h,Radial Velocity,2222.00000000,3.400000,0.080000,,,,,,39.39,7.321,,,,HD 10180,HIP 7599,0.627,,2010
HD 101930,b,Radial Velocity,70.46000000,0.302000,0.110000,,,,,,30.50,8.216,,,,HD 101930,HIP 57172,0.928,,2005
HD 102117,b,Radial Velocity,20.80790000,0.153200,0.106000,,,,,,42.00,7.448,,,,HD 102117,HIP 57291,0.750,,2004
HD 102195,b,Radial Velocity,4.11377500,,0.000000,,,,,,28.98,8.062,,,,HD 102195,HIP 57370,0.835,,2005
HD 102272,b,Radial Velocity,127.58000000,0.614000,0.050000,,,,,,164.20,8.711,,,,HD 102272,HIP 57428,0.982,,2008
HD 102272,c,Radial Velocity,520.00000000,1.570000,0.680000,,,,,,164.20,8.711,,,,HD 102272,HIP 57428,0.982,,2008
HD 102329,b,Radial Velocity,778.10000000,2.010000,0.211000,,,,,,138.50,7.886,,,,HD 102329,HIP 57467,1.044,,2011
HD 102365,b,Radial Velocity,122.10000000,0.460000,0.340000,,,,,,9.24,4.910,,,,HD 102365,HIP 57443,0.660,,2010
HD 102956,b,Radial Velocity,6.49500000,0.081000,0.048000,,,,,,121.07,7.851,,,,HD 102956,HIP 57820,0.973,,2010
HD 103197,b,Radial Velocity,47.80000000,,,,,,,,49.33,9.391,,,,HD 103197,HIP 57931,0.914,,2009
HD 104067,b,Radial Velocity,55.80600000,0.264300,,,,,,,20.82,7.920,,,,HD 104067,HIP 58451,0.980,,2009
HD 104985,b,Radial Velocity,198.20000000,0.780000,0.030000,,,,,,102.04,5.800,,,,HD 104985,HIP 58952,1.010,,2003
HD 106252,b,Radial Velocity,1531.00000000,2.611000,0.482000,,,,,,37.44,7.408,,,,HD 106252,HIP 59610,0.616,,2002
HD 106270,b,Radial Velocity,2890.00000000,4.300000,0.402000,,,,,,87.87,7.577,,,,HD 106270,HIP 59625,0.743,,2011
HD 10647,b,Radial Velocity,1003.00000000,2.030000,0.160000,,,,,,17.35,5.519,,,,HD 10647,HIP 7978,0.535,,2003
HD 106515A,b,Radial Velocity,3630.00000000,,0.600000,10.49980,,,,,36.36,7.971,,,,HD 106515A,HIP 59743A,0.822,,2011
HD 10697,b,Radial Velocity,1075.20000000,2.131000,0.099000,,,,,,32.56,6.279,,,,HD 10697,HIP 8159,0.706,,2000
HD 107148,b,Radial Velocity,48.05600000,0.269000,0.050000,,,,,,51.26,8.015,,,,HD 107148,HIP 60081,0.703,,2006
HD 108147,b,Radial Velocity,10.89850000,0.102000,0.530000,,,,,,38.56,6.995,,,,HD 108147,HIP 60644,0.538,,2002
HD 108863,b,Radial Velocity,443.40000000,1.400000,0.100000,,,,,,138.50,7.739,,,,HD 108863,HIP 61020,1.008,,2011
HD 108874,b,Radial Velocity,394.48000000,1.053000,0.128000,,,,,,68.54,8.738,,,,HD 108874,HIP 61028,0.765,,2003
HD 108874,c,Radial Velocity,1680.00000000,2.770000,0.273000,,,,,,68.54,8.738,,,,HD 108874,HIP 61028,0.765,,2005
HD 109246,b,Radial Velocity,68.27000000,0.330000,0.120000,,,,,,65.62,8.757,,,,HD 109246,HIP 61177,0.663,,2010
HD 109749,b,Radial Velocity,5.24000000,0.063500,0.010000,,,,,,59.03,8.208,,,,HD 109749,HIP 61595A,0.657,,2005
HD 110014,b,Radial Velocity,835.47700000,2.140000,0.462000,,,,,,97.66,4.670,,,,HD 110014,HIP 61740,1.220,,2009
HD 111232,b,Radial Velocity,1143.00000000,1.970000,0.200000,,,,,,28.88,7.607,,,,HD 111232,HIP 62534,0.699,,2004
HD 113538,b,Radial Velocity,263.30000000,0.710000,0.610000,,,,,,15.71,9.070,,,,HD 113538,HIP 63833,1.370,,2010
HD 113538,c,Radial Velocity,1657.00000000,2.430000,0.320000,,,,,,15.71,9.070,,,,HD 113538,HIP 63833,1.370,,2010
HD 114386,b,Radial Velocity,937.70000000,1.650000,0.230000,,,,,,28.04,8.715,,,,HD 114386,HIP 64295,1.082,,2003
HD 114386,c,Radial Velocity,1046.00000000,,0.060000,1.18622,,,,,28.04,8.715,,,,HD 114386,HIP 64295,1.082,,2011
